河源公共,rtp://239.21.0.51:3544

河源新闻综合,rtp://239.21.0.50:3540

河源公共高清,rtp://239.21.0.49:3536

河源新闻综合高清,rtp://239.21.0.48:3532

广东卫视,rtp://239.20.0.131:2060

广东珠江,rtp://239.20.0.111:2020

广东新闻,rtp://239.20.0.112:2022

广东公共,rtp://239.20.0.113:2024

广东体育,rtp://239.20.0.114:2026

广东国际,rtp://239.20.0.120:2038

广东经济科教,rtp://239.20.0.191:2180

广东南方卫视,rtp://239.20.0.125:2048

广东影视,rtp://239.20.0.117:2032

广东少儿,rtp://239.20.0.118:2034

广东嘉佳卡,rtp://239.20.0.119:2036

广东综艺(4k),rtp://239.20.0.60:3160

汕尾1测试,rtp://239.20.0.23:3312

汕尾2测试,rtp://239.20.0.22:3316

惠州综合,rtp://239.21.0.25:3440

惠州公共,rtp://239.21.0.26:3444

珠江电影,rtp://239.20.0.225:2248

南方购物,rtp://239.20.0.116:2030

岭南戏曲,rtp://239.20.0.115:2028

广东房产,rtp://239.20.0.126:2050

现代教育,rtp://239.20.0.128:2054

移动频道,rtp://239.20.0.133:2064

英语辅导,rtp://239.20.0.127:2052

CCTV-1综合,rtp://239.20.0.192:2182

CCTV-2财经,rtp://239.20.0.176:2150

CCTV-3综艺测,rtp://239.20.0.27:3296

CCTV-4中文国,rtp://239.20.0.177:2152

CCTV-5体育测,rtp://239.20.0.26:3300

CCTV-6电影测试,rtp://239.20.0.25:3304

CCTV-7国防军事,rtp://239.20.0.178:2154

CCTV-8电视剧测,rtp://239.20.0.24:3308

CCTV-9纪录,rtp://239.20.0.179:2156

CCTV-10科教,rtp://239.20.0.180:2158

CCTV-11戏曲,rtp://239.20.0.181:2160

CCTV-12社会与法,rtp://239.20.0.182:2162

CCTV-13新闻,rtp://239.20.0.183:2164

CCTV-14少儿,rtp://239.20.0.184:2166

CCTV-15音乐,rtp://239.20.0.185:2168

CGTN中国国际电视,rtp://239.20.0.186:2170

CCTV-17,rtp://239.20.0.8:3372

聚鲨环球精选,rtp://239.21.0.24:3436

湖南卫视,rtp://239.20.0.135:2068

浙江卫视,rtp://239.20.0.106:2010

江苏卫视,rtp://239.20.0.107:2012

东方卫视,rtp://239.20.0.108:2014

安徽卫视,rtp://239.20.0.136:2070

北京卫视,rtp://239.20.0.137:2072

天津卫视,rtp://239.20.0.110:2018

山东卫视,rtp://239.20.0.109:2016

江西卫视,rtp://239.20.0.138:2074

深圳卫视,rtp://239.20.0.134:2066

湖北卫视,rtp://239.20.0.139:2076

辽宁卫视,rtp://239.20.0.140:2078

黑龙江卫视,rtp://239.20.0.141:2080

贵州卫视,rtp://239.20.0.142:2082

四川卫视,rtp://239.20.0.143:2084

河南卫视,rtp://239.20.0.144:2086

云南卫视,rtp://239.20.0.145:2088

重庆卫视,rtp://239.20.0.146:2090

河北卫视,rtp://239.20.0.147:2092

东南卫视,rtp://239.20.0.148:2094

广西卫视,rtp://239.20.0.149:2096

吉林卫视,rtp://239.20.0.150:2098

陕西卫视,rtp://239.20.0.151:2100

山西卫视,rtp://239.20.0.152:2102

内蒙古卫视,rtp://239.20.0.153:2104

青海卫视,rtp://239.20.0.154:2106

旅游卫视,rtp://239.20.0.155:2108

宁夏卫视,rtp://239.20.0.156:2110

西藏卫视,rtp://239.20.0.157:2112

新疆卫视,rtp://239.20.0.158:2114

甘肃卫视,rtp://239.20.0.159:2116

兵团卫视,rtp://239.20.0.160:2118

卡酷动画,rtp://239.20.0.162:2122

金鹰卡通,rtp://239.20.0.163:2124

炫动卡通,rtp://239.20.0.164:2126

CETV-1,rtp://239.20.0.165:2128

CETV-2,rtp://239.21.0.46:3524

CETV-4,rtp://239.21.0.47:3528

山东教育,rtp://239.20.0.166:2130

财富天下,rtp://239.20.0.167:2132

厦门卫视,rtp://239.20.0.168:2134

三沙卫视,rtp://239.20.0.52:3192

吉林延边卫视,rtp://239.20.0.51:3216

广东卫视高清,rtp://239.20.0.101:2000

广东经济科教高清,rtp://239.20.0.102:2002

广东体育高清,rtp://239.20.0.103:2004

广东珠江高清,rtp://239.20.0.64:3144

惠州综合高清,rtp://239.21.0.27:3448

惠州公共高清,rtp://239.21.0.28:3452

CCTV-1高清,rtp://239.20.0.104:2006

CCTV5+体育高清,rtp://239.20.0.203:2204

CCTV-2高清,rtp://239.20.0.197:2192

CCTV-3高清,rtp://239.20.0.28:3292

CCTV-4高清,rtp://239.20.0.16:3340

CCTV-5高清,rtp://239.20.0.30:3284

CCTV-6高清,rtp://239.20.0.29:3288

CCTV-7国防军事高清,rtp://239.20.0.198:2194

CCTV-8高清,rtp://239.20.0.31:3280

CCTV-9高清,rtp://239.20.0.199:2196

CCTV-10高清,rtp://239.20.0.200:2198

CCTV-11高清,rtp://239.21.0.35:3480

CCTV-12高清,rtp://239.20.0.201:2200

CCTV-14少儿高清,rtp://239.20.0.202:2202

CCTV-15高清,rtp://239.21.0.36:3484

IPTV5+高清,rtp://239.20.0.208:2214

CCTV-17农业高清,rtp://239.20.0.7:3376

湖南卫视高清,rtp://239.20.0.105:2008

浙江卫视高清,rtp://239.20.0.169:2136

江苏卫视高清,rtp://239.20.0.170:2138

北京卫视高清,rtp://239.20.0.121:2040

深圳卫视高清,rtp://239.20.0.122:2042

黑龙江卫视高清,rtp://239.20.0.123:2044

湖北卫视高清,rtp://239.20.0.124:2046

天津卫视高清,rtp://239.20.0.171:2140

山东卫视高清,rtp://239.20.0.172:2142

东方卫视高清,rtp://239.20.0.173:2144

BTV冬奥纪实高清,rtp://239.20.0.174:2146

辽宁卫视高清,rtp://239.20.0.175:2148

四川卫视高清,rtp://239.20.0.194:2186

金鹰纪实高清HLS,rtp://239.20.0.196:2190

重庆卫视高清,rtp://239.20.0.195:2188

安徽卫视高清,rtp://239.20.0.193:2184

中国教育-1高清,rtp://239.20.0.213:2224

中国交通,rtp://239.20.0.68:3128

福建东南卫视高清,rtp://239.20.0.58:3168

河北HD,rtp://239.20.0.56:3176

江西卫视高清,rtp://239.20.0.55:3180

广西卫视高清,rtp://239.20.0.15:3344

广东卫视超清,rtp://239.20.0.99:3004

广东经济科教超清,rtp://239.20.0.98:3008

广东体育超清,rtp://239.20.0.97:3012

广东珠江超清,rtp://239.20.0.63:3148

湖南卫视超清,rtp://239.20.0.95:3020

浙江卫视超清,rtp://239.20.0.94:3024

江苏卫视超清,rtp://239.20.0.93:3028

深圳卫视超清,rtp://239.20.0.92:3032

黑龙江卫视超清,rtp://239.20.0.91:3036

湖北卫视超清,rtp://239.20.0.90:3040

天津卫视超清,rtp://239.20.0.89:3044

山东卫视超清,rtp://239.20.0.88:3048

BTV冬奥纪实超清,rtp://239.20.0.87:3052

辽宁卫视超清,rtp://239.20.0.86:3056

金鹰纪实超清,rtp://239.20.0.85:3060

四川卫视超清,rtp://239.20.0.82:3072

IPTV谍战剧场,rtp://239.20.0.228:2254

IPTV相声小品,rtp://239.20.0.229:2256

IPTV野外,rtp://239.20.0.230:2258

IPTV法治,rtp://239.20.0.231:2260

IPTV6+,rtp://239.20.0.232:2262

经典电影,rtp://239.20.0.233:2264

IPTV8+,rtp://239.20.0.234:2266

热播剧场,rtp://239.20.0.235:2268

IPTV3+,rtp://239.20.0.2
